省份,year,GDP(亿元),人均GDP(元),第一产业增加值(亿元),第二产业增加值(亿元),第三产业增加值(亿元),全体居民人均可支配收入(元),社会消费品零售总额(亿元),固定资产投资额(万元)
安徽,2017,29676.2,49092,2582.3,12681.2,14412.7,21863.0,14328.8,291860000.0
安徽,2018,34010.9,56063,2638.0,14094.4,17278.5,23984.0,16156.2,326299480.00000006
安徽,2019,36845.5,60561,2916.0,14970.0,18959.5,26415.0,17862.1,356319032.1600001
安徽,2020,38061.5,62411,3185.0,15216.5,19660.1,28103.0,18334.0,374491302.80016005
安徽,2021,42565.2,69676,3363.9,17240.1,21961.1,30904.0,21471.2,409693485.2633751
安徽,2022,45045.0,73603,3513.7,18588.0,22943.3,32745.0,21518.4,446565898.9370789
北京,2017,29883.0,136172,121.9,5049.4,24711.7,57230.0,13933.7,89481000.0
北京,2018,33106.0,150962,120.6,5477.4,27508.1,62361.0,14422.3,84559545.0
北京,2019,35445.1,161776,114.4,5667.4,29663.4,67756.0,15063.7,82445556.375
北京,2020,35943.3,164158,108.3,5739.1,30095.9,69434.0,13716.4,84259358.61525
北京,2021,41045.6,187526,111.4,7389.0,33545.2,75002.0,14867.7,88388067.18739726
北京,2022,41610.9,190313,111.5,6605.1,34894.3,77415.0,13794.2,91570037.60614356
福建,2017,33842.4,83758,2215.1,16290.0,15337.3,30048.0,15393.9,262266000.0
福建,2018,38687.8,94719,2379.0,18847.8,17461.0,32644.0,17178.4,292426590.0
福建,2019,42326.6,102722,2595.5,20065.5,19665.6,35616.0,18896.8,309679758.81
福建,2020,43608.6,105106,2730.8,20168.4,20709.3,37202.0,18626.5,308441039.77476
福建,2021,49566.1,118750,2899.9,23319.8,23346.3,40659.0,20373.1,326947502.16124564
福建,2022,53109.9,126829,3076.2,25078.2,24955.5,43118.0,21050.1,351468564.82333905
甘肃,2017,7336.7,29103,859.8,2515.8,3961.2,16011.0,3206.2,56963500.0
甘肃,2018,8104.1,32178,926.1,2761.6,4416.4,17488.0,3435.6,54741923.5
甘肃,2019,8718.3,34707,1059.3,2862.4,4796.6,19139.0,3700.3,58354890.451000005
甘肃,2020,8979.7,35848,1188.1,2824.8,4966.7,20335.0,3632.4,62906571.90617801
甘肃,2021,10225.5,40976,1364.8,3451.2,5409.5,22066.0,4037.1,69889201.38776377
甘肃,2022,11201.6,44968,1515.3,3945.0,5741.2,23273.0,3922.2,76948010.72792791
广东,2017,91648.7,76218,3611.4,38536.6,49500.7,33003.0,36598.6,374779600.0
广东,2018,99945.2,81625,3836.4,41398.5,54710.4,35810.0,39767.1,414881017.2
广东,2019,107987.0,86956,4350.6,43368.2,60268.1,39014.0,42951.8,460932810.1092
广东,2020,111152.0,88521,4732.7,43868.1,62550.8,41029.0,40207.9,494119972.43706244
广东,2021,124720.0,98561,4984.7,50555.8,69179.0,44993.0,44187.7,525249530.70059735
广东,2022,129119.0,101905,5340.4,52843.5,70934.7,47065.0,44882.9,511593042.9023818
广西,2017,17790.7,36441,2878.3,6138.3,8774.1,19905.0,7038.0,204991100.0
广西,2018,19627.8,39837,3021.1,6692.9,9913.9,21485.0,7663.5,227130138.8
广西,2019,21237.1,42778,3389.7,7046.4,10801.0,23328.0,8200.9,248934632.12480003
广西,2020,22120.9,44237,3645.9,7046.8,11428.1,24562.0,7831.0,259389886.67404163
广西,2021,25209.1,50137,4051.3,8513.9,12643.9,26727.0,8538.5,279103518.0612688
广西,2022,26300.9,52164,4269.8,8938.6,13092.5,27981.0,8539.1,279382621.57933
贵州,2017,13605.4,35988,2032.3,4970.9,6602.3,16704.0,6449.4,152880100.0
贵州,2018,15353.2,40271,2156.0,5506.2,7691.0,18430.0,7105.0,177035155.79999998
贵州,2019,16769.3,43727,2280.6,5971.5,8517.3,20397.0,7468.2,178628472.20219997
贵州,2020,17860.4,46355,2539.9,6263.0,9057.5,21795.0,7833.4,184344583.31267038
贵州,2021,19458.6,50476,2730.9,6850.5,9877.2,23996.0,8904.3,178629901.2299776
贵州,2022,20164.6,52321,2861.2,7113.0,10190.4,25508.0,8507.1,169519776.26724875
海南,2017,4497.5,46631,962.8,996.4,2538.4,22553.0,1729.4,1615400.0
海南,2018,4910.7,50263,986.0,1053.1,2871.6,24579.0,1852.7,1413475.0
海南,2019,5330.8,53929,1079.0,1083.8,3168.1,26679.0,1951.1,1283435.3
海南,2020,5566.2,55438,1136.0,1072.2,3358.0,27904.0,1974.6,1386110.124
海南,2021,6504.1,63991,1254.4,1240.8,4008.8,30457.0,2497.6,1527493.3566480002
海南,2022,6818.2,66602,1417.8,1310.9,4089.5,30957.0,2268.4,1463338.6356687841
河北,2017,30640.8,41451,3130.0,12778.0,14732.8,21484.0,11138.5,330122000.0
河北,2018,32494.6,43808,3338.6,12904.1,16252.0,23446.0,11973.9,349929320.0
河北,2019,34978.6,47036,3518.4,13393.7,18066.4,25665.0,12985.5,372674725.79999995
河北,2020,36013.8,48302,3880.4,13765.1,18368.4,27136.0,12705.0,384600317.02559996
河北,2021,40397.1,54181,4030.4,16355.8,20010.9,29383.0,13509.9,396138326.53636795
河北,2022,42370.4,56995,4410.3,17050.1,20910.0,30867.0,13720.1,427433254.332741
河南,2017,44824.9,45723,4139.3,20940.3,19745.3,20170.0,19289.1,438903600.0
河南,2018,49935.9,50714,4311.1,22038.6,23586.2,21964.0,21268.0,474454791.59999996
河南,2019,53717.8,54356,4635.7,23035.6,26046.5,23903.0,23476.1,512411174.928
河南,2020,54259.4,54691,5354.0,22220.9,26684.5,24810.0,22502.8,534444855.4499039
河南,2021,58071.4,58587,5626.9,23566.4,28878.2,26811.0,24381.7,558494873.9451495
河南,2022,61345.1,62106,5817.8,25465.0,30062.2,28222.0,24407.4,595914030.4994745
黑龙江,2017,12313.0,35887,2965.3,3519.5,5828.2,21206.0,5077.4,110797000.0
黑龙江,2018,12846.5,38199,3001.2,3536.0,6309.3,22726.0,5275.0,105589541.0
黑龙江,2019,13544.4,41156,3183.2,3640.1,6721.1,24254.0,5603.9,112241682.08299999
黑龙江,2020,13633.4,42432,3445.1,3449.9,6738.5,24902.0,5092.3,116282382.63798799
黑龙江,2021,14858.2,47199,3463.4,4086.5,7308.3,27159.0,5542.9,123724455.12681922
黑龙江,2022,15901.0,51096,3609.8,4648.9,7642.2,28346.0,5210.0,124466801.85758014
湖北,2017,37235.0,63169,3529.0,15713.9,17992.2,23757.0,18519.7,318725700.0
湖北,2018,42022.0,71097,3548.2,17573.9,20899.9,25815.0,20598.2,353785527.00000006
湖北,2019,45429.0,76712,3809.4,18723.0,22896.5,28319.0,22722.3,391640578.38900006
湖北,2020,43004.5,73687,4133.2,15933.8,22937.6,27881.0,17984.9,318012149.65186805
湖北,2021,50091.2,86551,4635.2,19332.1,26123.9,30829.0,21561.4,382886628.18084913
湖北,2022,53734.9,92059,4986.7,21240.6,27507.6,32914.0,22164.8,440319622.40797645
湖南,2017,33828.1,51030,2998.4,13459.8,17369.9,23103.0,13793.7,214233500.0
湖南,2018,36329.7,54763,3084.2,13904.1,19341.4,25241.0,15134.3,235656850.00000003
湖南,2019,39894.1,60104,3647.2,15401.7,20845.2,27680.0,16683.9,259458191.85000002
湖南,2020,41542.6,62537,4240.7,15949.2,21352.7,29380.0,16258.1,279177014.43060005
湖南,2021,45713.5,68913,4323.0,17852.5,23537.9,31993.0,18596.9,301511175.5850481
湖南,2022,48670.4,73598,4602.7,19182.6,24885.1,34036.0,19050.7,321410913.1736613
吉林,2017,10922.0,42890,1095.4,3995.5,5831.2,21368.0,3992.3,131309000.0
吉林,2018,11253.8,44925,1160.7,4051.5,6041.6,22798.0,4073.8,133409944.0
吉林,2019,11726.8,47554,1287.3,4134.8,6304.7,24563.0,4212.9,111797533.072
吉林,2020,12256.0,50561,1553.0,4319.9,6383.1,25751.0,3824.0,121076728.316976
吉林,2021,13163.8,55148,1553.8,4768.3,6841.7,27770.0,4216.6,134395168.43184337
吉林,2022,13070.2,55347,1689.1,4628.3,6752.8,27975.0,3807.7,131169684.38947913
江苏,2017,85869.8,102202,4045.2,39124.1,42700.5,35024.0,32818.2,530002100.0
江苏,2018,93207.6,110508,4141.7,42129.4,46936.5,38096.0,35472.6,559152215.5
江苏,2019,98656.8,116650,4297.2,43507.5,50852.1,41400.0,37672.5,587668978.4905
江苏,2020,102808.0,121333,4537.6,44631.3,53638.9,43390.0,37086.1,589431985.4259714
江苏,2021,117392.0,138255,4721.0,52678.7,59992.7,47498.0,42702.6,623619040.5806777
江苏,2022,122876.0,144390,4959.4,55888.7,62027.5,49862.0,42752.1,647316564.1227435
江西,2017,20210.8,44878,1835.3,9444.6,8930.9,22031.0,8118.0,217704000.0
江西,2018,22716.5,50347,1877.3,10081.2,10758.0,24080.0,9045.7,241869144.0
江西,2019,24667.3,54640,2057.7,10820.3,11789.3,26262.0,10068.1,264121105.24800003
江西,2020,25782.0,57065,2243.8,11107.9,12430.2,28017.0,10371.8,285779035.8783361
江西,2021,29827.8,66020,2334.1,13230.7,14263.0,30610.0,12206.7,316643171.7531964
江西,2022,32074.7,70923,2451.5,14359.6,15263.7,32419.0,12853.5,343874484.5239713
辽宁,2017,21693.0,50221,1902.3,8328.9,11461.8,27835.0,8696.4,64447000.0
辽宁,2018,23510.5,54657,2020.6,9049.0,12441.0,29701.0,9112.8,66831538.99999999
辽宁,2019,24855.3,58019,2178.0,9475.9,13201.4,31820.0,9670.6,67032033.616999984
辽宁,2020,25011.4,58629,2284.8,9357.5,13369.1,32738.0,8960.9,68774866.49104199
辽宁,2021,27569.5,64992,2461.9,10883.3,14224.2,35112.0,9783.9,70563013.01980908
辽宁,2022,28975.1,68775,2597.6,11755.8,14621.7,36089.0,9526.2,73103281.48852222
内蒙古,2017,14898.1,61196,1649.8,5874.3,7374.0,26212.0,4642.6,144046000.0
内蒙古,2018,16140.8,66491,1750.7,6335.4,8054.7,28376.0,4852.3,103280982.0
内蒙古,2019,17212.5,71170,1863.3,6763.1,8586.1,30555.0,5051.1,110200807.794
内蒙古,2020,17258.0,71640,2028.8,6908.2,8321.1,31497.0,4760.5,108547795.67709
内蒙古,2021,21166.0,88137,2353.9,9880.6,8931.5,34108.0,5060.3,119185479.65344483
内蒙古,2022,23158.6,96474,2653.7,11241.8,9263.1,35921.0,4971.4,140162124.0724511
宁夏,2017,3200.3,45718,250.6,1406.0,1543.7,20562.0,1253.7,38133788.0
宁夏,2018,3510.2,49614,279.4,1488.1,1742.7,22400.0,1330.1,31193438.584000003
宁夏,2019,3748.5,52537,280.0,1587.1,1881.4,24412.0,1399.4,27980514.409848005
宁夏,2020,3956.3,55021,338.1,1629.3,1989.0,25735.0,1301.4,29099734.986241926
宁夏,2021,4588.2,63461,364.6,2099.2,2124.4,27905.0,1335.1,29739929.155939247
宁夏,2022,5069.6,69781,407.5,2449.1,2213.0,29599.0,1338.4,32773401.929845054
青海,2017,2465.1,42211,238.4,975.7,1251.0,19001.0,842.9,38971400.0
青海,2018,2748.0,46854,268.1,1093.7,1386.2,20757.0,899.9,41816312.199999996
青海,2019,2941.1,49976,301.9,1153.9,1485.3,22618.0,948.5,43907127.809999995
青海,2020,3009.8,50845,338.0,1143.2,1528.6,24037.0,877.3,38550458.21718
青海,2021,3385.1,57036,353.6,1364.7,1666.7,25920.0,947.8,37432494.92888178
青海,2022,3610.1,60724,380.2,1585.7,1644.2,27000.0,842.1,34587625.31428677
山东,2017,63012.1,62993,4832.7,26925.6,31253.8,26930.0,25527.9,542360300.0
山东,2018,66648.9,66284,4950.5,27523.7,34174.7,29205.0,27480.3,564597072.3
山东,2019,70540.5,69901,5117.0,28171.8,37251.7,31597.0,29251.2,518300112.3714
山东,2020,72798.2,71825,5364.4,28456.7,38977.2,32886.0,29248.0,536958916.4167705
山东,2021,82875.2,81510,6029.0,32834.5,44011.7,35705.0,33714.5,569176451.4017767
山东,2022,87435.1,86003,6298.6,35014.2,46122.3,37560.0,33236.2,603896214.9372851
山西,2017,14484.3,41242,719.2,6635.3,7129.8,20420.0,6058.5,61409000.0
山西,2018,15958.1,45517,740.8,7074.5,8142.9,21990.0,6523.3,64909313.0
山西,2019,16961.6,48469,825.3,7466.3,8670.0,23828.0,7030.5,70945879.109
山西,2020,17835.6,51051,1166.6,7703.2,8965.8,25214.0,6746.3,78466142.29455401
山西,2021,22870.4,65625,1286.9,11578.1,10005.4,27426.0,7747.3,85292696.67418021
山西,2022,25642.6,73675,1340.4,13840.8,10461.3,29178.0,7562.7,90324965.77795684
陕西,2017,21473.5,55216,1741.1,10114.1,9618.3,20635.0,8611.2,234682100.0
陕西,2018,23941.9,61115,1830.2,11215.3,10896.4,22528.0,9510.3,259089038.40000004
陕西,2019,25793.2,65506,1991.1,11779.5,12022.6,24666.0,10213.0,265566264.36
陕西,2020,26014.1,65867,2267.7,11222.0,12524.4,26226.0,9605.9,276454481.19876
陕西,2021,30121.7,76171,2409.9,14019.0,13692.9,28568.0,10250.5,268160846.76279718
陕西,2022,32772.7,82864,2575.3,15933.1,14264.2,30116.0,10401.6,289881875.35058373
上海,2017,32925.0,133489,110.8,9525.9,23288.3,58988.0,13699.5,72466000.0
上海,2018,36011.8,145767,104.8,10360.8,25546.3,64183.0,14874.8,76234232.0
上海,2019,37987.6,153299,107.1,10193.6,27686.9,69442.0,15847.6,80122177.832
上海,2020,38963.3,156803,107.7,10258.6,28597.1,72232.0,15932.5,88374762.148696
上海,2021,43653.2,175420,96.1,11366.7,32190.4,78027.0,18079.3,95444743.12059169
上海,2022,44652.8,179907,97.0,11458.4,33097.4,79610.0,16442.1,94490295.68938577
四川,2017,37905.1,45835,4262.5,14569.2,19073.5,20580.0,17404.4,320973000.0
四川,2018,42902.1,51658,4427.4,16056.9,22417.7,22461.0,19340.7,353712246.0
四川,2019,46363.8,55619,4807.5,17187.9,24368.3,24703.0,21343.0,384131499.156
四川,2020,48501.6,58009,5556.9,17505.6,25439.2,26522.0,20824.9,394887181.132368
四川,2021,54088.0,64610,5662.0,19949.7,28476.2,29080.0,24133.2,418185524.81917775
四川,2022,56749.8,67777,5964.3,21157.1,29628.4,30679.0,24104.6,443276656.30832845
天津,2017,12450.6,87280,169.0,4564.1,7717.5,37022.0,4210.4,112746900.0
天津,2018,13362.9,95689,175.3,4835.3,8352.3,39506.0,4231.2,106433073.6
天津,2019,14055.5,101557,185.4,4947.2,8922.9,42404.0,4218.2,120375806.24159999
天津,2020,14008.0,101068,210.3,4911.8,8885.9,43854.0,3582.9,123987080.428848
天津,2021,15685.1,113660,265.9,5672.7,9746.5,47449.0,3769.8,129938460.2894327
天津,2022,16311.3,119235,273.1,6038.9,9999.3,48976.0,3572.0,117074552.72077887
西藏,2017,1349.0,39158,118.2,469.6,761.2,15457.0,618.8,20510400.0
西藏,2018,1548.4,44051,128.3,582.7,837.3,17286.0,711.8,22520419.200000003
西藏,2019,1697.8,47491,138.2,635.6,924.0,19501.0,773.4,22024969.9776
西藏,2020,1902.7,52280,150.3,714.9,1037.5,21744.0,745.8,23214318.3563904
西藏,2021,2080.2,56831,164.1,757.3,1158.8,24950.0,810.3,19917885.149782963
西藏,2022,2132.6,58438,180.2,804.7,1147.8,26675.0,726.5,16332665.82282203
新疆,2017,11159.9,45476,1551.8,4096.2,5511.9,19975.0,3249.8,117956400.0
新疆,2018,12809.4,51238,1692.1,4657.2,6460.1,21500.0,3429.1,88231387.2
新疆,2019,13597.1,53542,1781.8,4784.4,7030.9,23103.0,3617.0,90437171.88
新疆,2020,13800.7,53606,1981.3,4786.7,7032.8,23845.0,3062.5,105087993.72456
新疆,2021,16311.6,62991,2359.1,6295.9,7656.6,26075.0,3584.6,120851192.78324398
新疆,2022,17741.3,68552,2509.3,7271.1,7961.0,27063.0,3240.5,130035883.43477054
云南,2017,18486.0,39458,2338.4,6317.8,9829.8,18348.0,8194.8,184748900.0
云南,2018,20880.6,44446,2498.7,7267.5,11114.5,20084.0,9197.3,206179772.4
云南,2019,23223.8,49323,3037.7,8060.4,12125.7,22082.0,10158.2,223705053.054
云南,2020,24555.7,52047,3611.8,8387.5,12556.5,23295.0,9792.9,240930342.13915798
云南,2021,27161.6,57717,3831.3,9537.2,13793.1,25666.0,10731.8,250567555.82472432
云南,2022,28954.2,61716,4012.2,10471.2,14470.8,26937.0,10838.8,269360122.5115786
浙江,2017,52403.1,85612,1933.9,23246.7,27222.5,42046.0,23121.3,311259900.0
浙江,2018,58002.8,93230,1975.9,25308.1,30718.8,45840.0,25161.9,333359352.9
浙江,2019,62462.0,98770,2086.7,26299.5,34075.8,49899.0,27343.8,366695288.19
浙江,2020,64689.1,100738,2166.3,26361.5,36161.3,52397.0,26629.8,386496833.75226
浙江,2021,74040.8,113839,2211.7,31174.0,40655.1,57541.0,29210.5,428238491.7975041
浙江,2022,77715.4,118496,2324.8,33205.2,42185.4,60302.0,30467.2,467208194.551077
重庆,2017,20066.3,64171,1276.1,8455.0,10335.2,24153.0,9769.4,174405700.0
重庆,2018,21588.8,68460,1378.7,8842.2,11367.9,26386.0,10705.2,186614099.0
重庆,2019,23605.8,74337,1551.6,9392.0,12662.2,28920.0,11631.7,197064488.544
重庆,2020,25041.4,78294,1803.5,9969.6,13268.3,30824.0,11787.2,204750003.59721598
重庆,2021,28077.3,87450,1921.9,11217.3,14938.1,33803.0,13967.7,217239753.81664613
重庆,2022,29129.0,90663,2012.1,11693.9,15423.1,35666.0,13926.1,218760432.09336263
